,Feature,Pearson,f_classif,RFE-Log,RFE-XGBoost,Logistics,LassoCV,RidgeClassifierCV,Random Forest,XGBoost,LinearSVC,Total
82,BounceExitW3_Scaled_Norm,True,True,False,False,False,False,False,False,False,False,2
83,BounceExitW3_Scaled,False,False,False,True,False,False,False,False,True,False,2
84,BounceExitW3_Norm_Scaled,True,True,False,False,False,False,False,False,False,False,2
85,BounceExitW3_Norm,True,True,False,False,False,False,False,False,False,False,2
86,BounceExitW2_Scaled_Norm,True,True,False,False,False,False,False,False,False,False,2
87,BounceExitW2_Norm_Scaled,True,True,False,False,False,False,False,False,False,False,2
88,BounceExitW2_Norm,True,True,False,False,False,False,False,False,False,False,2
89,BounceExitW1_Scaled_Norm,True,True,False,False,False,False,False,False,False,False,2
90,BounceExitW1_Scaled,False,False,False,True,False,False,False,False,True,False,2
91,BounceExitW1_Norm_Scaled,True,True,False,False,False,False,False,False,False,False,2
92,BounceExitW1_Norm,True,True,False,False,False,False,False,False,False,False,2
93,BounceExitAvg_Scaled_Norm,True,True,False,False,False,False,False,False,False,False,2
94,BounceExitAvg_Scaled,False,False,False,True,False,False,False,False,True,False,2
95,BounceExitAvg_Norm,True,True,False,False,False,False,False,False,False,False,2
96,AdminBounceRatio_Norm,False,False,True,False,False,False,False,True,False,False,2
97,totalFracProd_Scaled_Norm,False,False,False,False,False,False,False,True,False,False,1
98,totalFracProd_Norm_Scaled,False,False,False,False,False,True,False,False,False,False,1
99,totalFracInfo_Norm_Scaled,False,False,False,False,False,True,False,False,False,False,1
100,totalFracAdmin_Scaled_Norm,False,False,False,False,False,False,False,True,False,False,1
101,totalFracAdmin_Norm_Scaled,False,False,False,False,False,False,False,True,False,False,1
102,totalFracAdmin_Norm,False,False,False,False,False,False,False,True,False,False,1
103,VisitorType_bin_3,False,False,False,False,False,False,True,False,False,False,1
104,TrafficType_Bin_3,False,False,False,True,False,False,False,False,False,False,1
105,SpecialDay_0.8,False,False,True,False,False,False,False,False,False,False,1
106,SpecialDay_0.6,False,False,True,False,False,False,False,False,False,False,1
107,SpecialDay_0.0,False,False,True,False,False,False,False,False,False,False,1
108,Region_Bin_2,False,False,False,True,False,False,False,False,False,False,1
109,ProdRelBounceRatio_Scaled_Norm,False,False,False,False,False,False,False,True,False,False,1
110,OperatingSystems_Bin_3,False,False,False,True,False,False,False,False,False,False,1
111,OperatingSystems_Bin_2,False,False,False,True,False,False,False,False,False,False,1
112,OperatingSystems_Bin_1,False,False,False,True,False,False,False,False,False,False,1
113,InfoExitRatio_Scaled_Norm,False,False,True,False,False,False,False,False,False,False,1
114,InfoBounceRatio_Scaled_Bin,False,False,False,True,False,False,False,False,False,False,1
115,Administrative_Duration_Norm_Scaled,False,False,False,False,False,False,False,True,False,False,1
116,AdminBounceRatio_Norm_Scaled,False,False,False,False,False,False,False,True,False,False,1
117,totalFracInfo_Scaled_Norm,False,False,False,False,False,False,False,False,False,False,0
118,totalFracInfo_Norm,False,False,False,False,False,False,False,False,False,False,0
119,SpecialDay_1.0,False,False,False,False,False,False,False,False,False,False,0
120,SpecialDay_0.4,False,False,False,False,False,False,False,False,False,False,0
121,SpecialDay_0.2,False,False,False,False,False,False,False,False,False,False,0
122,Informational_Duration_Scaled_Norm,False,False,False,False,False,False,False,False,False,False,0
123,Informational_Duration_Norm_Scaled,False,False,False,False,False,False,False,False,False,False,0
124,Informational_Duration_Norm,False,False,False,False,False,False,False,False,False,False,0
125,InfoExitRatio_Scaled_Bin,False,False,False,False,False,False,False,False,False,False,0
126,InfoExitRatio_Norm_Scaled,False,False,False,False,False,False,False,False,False,False,0
127,InfoExitRatio_Norm,False,False,False,False,False,False,False,False,False,False,0
128,InfoBounceRatio_Scaled_Norm,False,False,False,False,False,False,False,False,False,False,0
129,InfoBounceRatio_Norm,False,False,False,False,False,False,False,False,False,False,0
130,Browser_Bin_2,False,False,False,False,False,False,False,False,False,False,0
131,BounceRates_Scaled_Norm,False,False,False,False,False,False,False,False,False,False,0
132,BounceRates_Norm,False,False,False,False,False,False,False,False,False,False,0
